,Date,AAPL,BLK,JPM,MSFT,SPY,AAPL_Return,MSFT_Return,JPM_Return,BLK_Return,SPY_Return
0,2015-11-02,27.99604034423828,311.3218688964844,56.61245727539063,48.38425827026367,190.7003631591797,,,,,
1,2015-11-03,28.31716537475586,314.74609375,56.81976318359375,49.21126937866211,191.2532501220703,0.3211250305175781,0.8270111083984375,0.2073059082031179,3.424224853515625,0.552886962890625
2,2015-11-04,28.18548011779785,313.0075988769531,56.880226135253906,49.43847274780274,190.6731109619141,-0.1316852569580078,0.2272033691406321,0.06046295166015625,-1.738494873046875,-0.5801391601562216
3,2015-11-05,28.0555477142334,313.7187805175781,57.38987350463867,49.42028427124024,190.48280334472656,-0.12993240356445312,-0.0181884765625,0.5096473693847656,0.711181640625,-0.19030761718752842
4,2015-11-06,28.08802795410156,313.19195556640625,59.13471603393555,49.911033630371094,190.38308715820312,0.03248023986816051,0.49074935913085227,1.744842529296875,-0.526824951171875,-0.0997161865234375
5,2015-11-09,27.974346160888672,306.9316711425781,58.21045684814453,49.22035217285156,188.6065216064453,-0.11368179321288707,-0.6906814575195312,-0.9242591857910156,-6.260284423828125,-1.7765655517578125
6,2015-11-10,27.09267234802246,307.5462951660156,58.46095657348633,48.62963104248047,189.0415802001953,-0.8816738128662109,-0.5907211303710938,0.2504997253417969,0.6146240234375,0.43505859375
7,2015-11-11,26.93954467773437,307.74822998046875,58.1759147644043,48.75687026977539,188.2983703613281,-0.1531276702880895,0.12723922729492188,-0.28504180908203125,0.201934814453125,-0.7432098388672159
8,2015-11-12,26.849056243896484,303.56878662109375,57.009803771972656,48.45695877075195,185.66973876953125,-0.09048843383788707,-0.2999114990234375,-1.1661109924316406,-4.179443359375,-2.6286315917968466
9,2015-11-13,26.064838409423828,301.3825378417969,56.62974166870117,48.02074813842773,183.58497619628903,-0.7842178344726562,-0.43621063232422586,-0.3800621032714844,-2.186248779296875,-2.084762573242216
10,2015-11-16,26.491756439208984,309.3549499511719,57.45033264160156,48.86592102050781,186.3767547607422,0.42691802978515625,0.8451728820800852,0.8205909729003906,7.972412109375,2.7917785644531534
11,2015-11-17,26.37806510925293,310.31207275390625,57.1220932006836,48.46336364746094,186.2407989501953,-0.11369132995605469,-0.402557373046875,-0.32823944091796164,0.957122802734375,-0.135955810546875
12,2015-11-18,27.21332359313965,316.64263916015625,58.26228332519531,49.26848983764648,189.1957092285156,0.8352584838867188,0.8051261901855398,1.1401901245117116,6.33056640625,2.954910278320284
13,2015-11-19,27.559030532836914,315.2904052734375,58.44368743896485,49.35083770751953,189.03256225585938,0.3457069396972656,0.08234786987305398,0.18140411376953836,-1.35223388671875,-0.16314697265622158
14,2015-11-20,27.67967987060547,318.2494201660156,58.34002685546875,49.57955932617188,189.72142028808597,0.12064933776855469,0.22872161865235086,-0.10366058349610086,2.959014892578125,0.6888580322265909
15,2015-11-23,27.320056915283203,318.9430236816406,57.76992416381836,49.57955932617188,189.5038299560547,-0.3596229553222656,0.0,-0.5701026916503906,0.693603515625,-0.21759033203127842
16,2015-11-24,27.58223533630371,313.2885437011719,57.68354797363281,49.63445663452149,189.75765991210938,0.2621784210205078,0.054897308349609375,-0.08637619018554688,-5.65447998046875,0.2538299560546875
17,2015-11-25,27.38501739501953,316.6339416503906,57.75265884399414,49.12210464477539,189.7304992675781,-0.1972179412841797,-0.5123519897461009,0.06911087036132812,3.34539794921875,-0.02716064453127842
18,2015-11-27,27.33397674560547,314.67578125,58.020423889160156,49.34167861938477,189.94802856445312,-0.0510406494140625,0.2195739746093821,0.2677650451660156,-1.958160400390625,0.21752929687502842
19,2015-11-30,27.44766616821289,319.3557434082031,57.59717178344727,49.7259521484375,189.15945434570312,0.11368942260742188,0.38427352905272727,-0.4232521057128835,4.679962158203125,-0.78857421875
20,2015-12-01,27.22492218017578,319.5235900878906,58.40049362182617,50.52193832397461,190.96319580078125,-0.22274398803710938,0.7959861755371094,0.8033218383788991,0.1678466796875,1.803741455078125
21,2015-12-02,26.978988647460934,317.04150390625,57.57989883422852,50.512779235839844,189.0144195556641,-0.2459335327148473,-0.009159088134765625,-0.8205947875976491,-2.482086181640625,-1.948776245117159
22,2015-12-03,26.728410720825195,310.9288330078125,56.8370475769043,49.58871841430664,186.36769104003903,-0.25057792663573863,-0.9240608215332031,-0.7428512573242259,-6.1126708984375,-2.646728515625057
23,2015-12-04,27.61703681945801,318.66668701171875,58.64234924316406,51.15322494506836,190.00241088867188,0.888626098632816,1.5645065307617188,1.8053016662597656,7.73785400390625,3.634719848632841
24,2015-12-07,27.443025588989254,313.9939880371094,57.873573303222656,51.06173706054688,188.8512725830078,-0.1740112304687571,-0.09148788452147727,-0.7687759399414062,-4.672698974609375,-1.1511383056640625
25,2015-12-08,27.43142318725586,308.225830078125,56.97525405883789,51.043434143066406,187.582275390625,-0.011602401733394885,-0.018302917480475855,-0.8983192443847656,-5.768157958984375,-1.2689971923828125
26,2015-12-09,26.825855255126953,304.36578369140625,56.543357849121094,50.30235290527344,186.12294006347656,-0.6055679321289062,-0.7410812377929688,-0.4318962097167969,-3.86004638671875,-1.4593353271484375
27,2015-12-10,26.953466415405273,304.9664001464844,56.67292404174805,50.56767272949219,186.6033477783203,0.1276111602783203,0.26531982421875,0.12956619262695312,0.600616455078125,0.48040771484375
28,2015-12-11,26.259735107421875,285.1181640625,55.34269714355469,49.46062469482422,182.98675537109372,-0.6937313079833984,-1.1070480346679688,-1.3302268981933594,-19.848236083984375,-3.616592407226591
